date,transactions
8/10/2018,2333453
5/8/2019,2393391
6/4/2019,2476264
8/24/2020,1557877
1/27/2021,1686630
6/22/2021,1899752
8/27/2021,2111799
10/11/2021,1963098
11/13/2021,2422167
12/18/2021,2692335
3/28/2022,1909981
7/31/2022,2159076
6/22/2023,1930186
7/15/2023,2022341
9/22/2019,2555487
11/1/2019,2843010
11/18/2019,2401076
1/21/2020,2184601
7/24/2020,1791591
8/5/2020,1546732
11/29/2020,1779313
10/2/2021,2095358
11/25/2021,1628880
7/27/2022,2085151
8/2/2022,2035023
11/29/2022,2014645
12/25/2022,4924
5/22/2023,1927858
9/14/2023,1787242
11/8/2023,1748379
2/5/2024,1712755
8/8/2018,2048089
8/11/2018,2297983
9/1/2018,2427916
9/9/2018,2173020
10/5/2018,2310167
11/2/2018,2371845
11/21/2019,2408200
4/30/2020,1668543
8/28/2020,1688652
8/29/2020,1745010
1/31/2022,2199652
5/19/2022,2125995
2/25/2023,1877745
6/18/2023,1958965
9/19/2023,1746727
11/22/2023,2721484
6/30/2018,2417461
5/27/2019,2564737
10/4/2020,1602644
4/29/2021,1810003
5/12/2021,1898105
7/20/2021,1920517
7/30/2021,2144026
9/14/2021,1851680
1/29/2022,2235001
5/26/2022,2246972
6/18/2022,2487134
6/22/2022,2141855
1/7/2024,1801402
11/1/2018,1979675
2/23/2019,2747414
3/7/2020,2748641
3/13/2020,3368259
9/24/2020,1544294
12/18/2020,2216526
7/17/2021,2126886
3/16/2022,1965204
6/6/2022,2109519
11/21/2022,2440897
2/8/2023,1765570
6/23/2023,2072904
2/4/2020,2165677
2/15/2020,2644892
4/24/2021,1998306
7/23/2021,2147076
9/11/2021,2076667
7/7/2022,2167307
11/29/2023,1823248
12/10/2023,1943640
9/8/2018,2249254
1/7/2019,1845667
1/8/2019,1881377
5/23/2020,2298542
2/15/2021,1567902
12/5/2021,2195380
3/12/2022,2181202
3/15/2022,1901187
4/2/2022,2201446
4/10/2022,2156909
12/9/2022,2327146
3/12/2023,1742505
1/11/2024,2048237
1/28/2019,1554401
10/5/2019,2720141
12/2/2022,2305665
3/24/2023,1890210
9/27/2023,1807408
11/25/2023,1937920
8/31/2018,2500342
1/30/2019,1253912
3/14/2019,2195128
3/17/2019,2415018
4/28/2019,2522734
7/30/2019,2393473
2/12/2020,2418997
12/17/2020,1973068
3/22/2021,1767312
5/3/2021,1867940
8/21/2021,2125595
10/8/2021,2128118
2/25/2022,1938078
10/19/2022,2002898
12/20/2022,2797578
1/1/2023,1580790
7/29/2023,1994182
11/17/2023,2095168
2/4/2024,1841933
1/18/2021,1705028
1/25/2021,1719988
7/19/2021,1968631
5/3/2023,1820751
6/24/2023,2008362
2/2/2021,1697451
2/16/2022,2006640
8/11/2022,2092165
8/20/2022,2215327
9/18/2018,1962545
5/14/2019,2390056
7/8/2019,2509576
7/28/2019,2588019
10/24/2019,2346245
9/7/2020,1509698
7/10/2021,2077192
9/3/2023,1865736
11/18/2023,2138802
7/28/2018,2241944
9/24/2018,1955574
12/28/2019,2658430
5/8/2020,1931080
5/1/2022,2235545
9/29/2022,2016350
11/20/2022,2302853
10/12/2023,1789834
2/16/2024,1860559
10/4/2018,2022885
3/26/2019,2169672
6/24/2019,2454397
12/10/2019,2429852
4/25/2021,1914993
6/4/2021,2204944
9/25/2021,2059527
11/11/2021,2091676
8/28/2023,1869980
11/24/2023,2115672
3/28/2024,1926602
7/29/2018,2096427
2/28/2019,2252678
1/17/2020,2972246
3/7/2021,1882936
5/16/2023,1827672
7/18/2023,1855995
2/9/2024,1949194
3/31/2024,1586309
3/28/2019,2188951
5/24/2020,2156908
6/4/2020,2118881
7/13/2021,1918561
9/5/2021,1986793
1/9/2022,2092408
1/15/2022,2259705
8/10/2023,1887415
1/30/2024,1541902
8/5/2019,2523905
12/18/2019,2681392
10/18/2020,1565272
4/27/2022,1971048
12/11/2022,2263701
6/1/2023,2007307
7/25/2018,1983992
1/26/2019,2197874
5/10/2019,2928488
7/19/2019,2823145
9/8/2019,2669551
4/29/2020,1551151
12/25/2020,4160
11/1/2021,2032679
3/22/2022,1856601
5/7/2022,2696680
9/6/2022,2027821
9/7/2022,2023288
12/12/2022,2216432
6/10/2019,2518423
5/29/2021,2279822
9/9/2021,1956280
2/1/2022,2571498
5/23/2022,2186909
7/5/2022,2084874
8/15/2022,2089315
3/4/2023,1822451
4/29/2023,1978382
11/4/2023,1936684
1/14/2024,1477810
4/8/2024,1092490
10/9/2018,1974196
12/30/2018,2141587
3/30/2019,2566363
10/19/2020,1505888
5/7/2021,2154493
7/11/2021,1993172
4/12/2022,2016644
12/28/2022,2131332
9/19/2018,1982571
9/30/2018,2148880
2/1/2019,2143143
5/10/2020,1740632
12/22/2020,2373819
7/4/2023,1778013
10/29/2023,1851714
1/2/2024,1784639
10/7/2018,2158503
7/11/2019,2485782
10/1/2019,2301360
11/9/2019,2824045
1/25/2020,2577159
4/26/2020,1502077
8/22/2020,1738294
12/30/2020,1789760
4/21/2021,1724418
6/2/2022,2173571
3/11/2019,2344674
12/4/2019,2398757
4/21/2020,1514595
9/6/2021,1963087
11/17/2021,2065349
1/18/2022,1920280
6/5/2022,2234192
10/21/2018,2129936
12/18/2018,2289280
3/29/2019,2508202
6/3/2019,2596122
6/6/2019,2559687
6/28/2019,2877760
11/6/2020,1793507
6/20/2021,1969199
6/27/2021,1996589
12/14/2021,2246736
8/3/2022,2004839
4/26/2019,2671310
5/13/2019,2441885
3/9/2020,2342594
7/5/2020,1542082
12/13/2020,1927981
7/8/2021,1985645
8/25/2021,1931005
11/23/2021,2610459
12/27/2021,2141621
3/19/2022,2182400
12/19/2022,2563532
12/29/2022,2188849
8/3/2023,1921265
12/4/2018,2064226
1/20/2019,1662180
5/20/2019,2538236
9/27/2019,2613482
3/10/2020,2318517
10/5/2020,1514073
2/26/2021,1882420
6/28/2021,1936928
8/7/2022,2171122
12/25/2018,289
11/18/2013,1
3/19/2019,2160206
6/15/2019,3078910
3/11/2020,2511831
9/13/2021,1885423
9/26/2021,1947660
1/10/2022,1918474
4/18/2022,1908161
5/24/2022,2135134
7/15/2022,2288593
8/8/2022,2082385
2/16/2023,1578131
4/2/2024,1638251
5/12/2019,2791229
8/21/2019,2432851
4/19/2020,1430283
6/5/2020,2356571
4/7/2021,1781573
6/1/2021,1941844
6/29/2022,2174678
7/29/2022,2414554
10/11/2022,1906050
1/2/2023,2102443
7/31/2023,1877023
8/6/2023,1901693
8/20/2023,1935284
4/6/2024,2034503
7/3/2018,2480592
7/8/2018,2094909
11/17/2018,2433835
9/30/2019,2366092
12/8/2019,2731146
8/4/2020,1570394
9/4/2020,1832071
8/23/2021,1985005
1/8/2022,2244923
9/20/2022,1932543
5/9/2023,1831215
3/12/2024,1714843
7/18/2018,2053697
5/4/2019,2766040
10/22/2019,2289978
4/15/2021,1795584
5/21/2021,2198974
4/9/2022,2248393
11/1/2022,1975788
9/11/2018,1956293
10/1/2018,2033283
10/15/2018,2024111
12/6/2018,2072361
1/22/2019,1749746
6/13/2019,2570432
7/25/2019,2472620
9/14/2019,2786678
12/22/2019,3270841
12/10/2021,2388350
1/24/2022,1701319
10/13/2018,2383528
1/19/2019,1771511
2/19/2019,2134741
2/11/2020,2343358
6/17/2020,1994331
4/6/2022,1868731
6/28/2022,2103818
11/26/2018,1856066
12/29/2019,2368066
4/13/2020,1362270
7/2/2020,1994022
4/21/2022,1995085
5/6/2022,2333029
6/19/2022,2239736
7/24/2022,2142143
5/30/2023,1914585
6/12/2019,2458457
7/23/2019,2389094
9/23/2019,2370469
10/4/2019,2719577
6/12/2020,2176973
8/9/2020,1597970
10/29/2020,1691709
10/20/2021,1984333
1/23/2022,1867561
5/19/2023,2035723
5/20/2023,2077372
6/7/2023,1900645
10/13/2023,1963473
12/11/2023,1936458
7/27/2018,2299903
12/20/2018,2528054
12/21/2018,2921932
6/21/2019,2796617
7/7/2019,2503061
9/6/2019,2643797
5/17/2020,1855838
4/12/2023,1767726
4/21/2023,1928541
11/5/2023,1893748
8/28/2018,1976320
12/3/2018,2107201
4/16/2019,2305074
5/25/2019,3143594
8/25/2019,2653933
6/25/2020,1990093
9/30/2021,1916349
12/4/2021,2519761
12/12/2021,2396480
8/14/2022,2174144
12/8/2022,2126452
6/12/2023,1918931
8/20/2019,2350904
12/23/2020,2726055
5/9/2021,2029876
6/17/2021,2022814
11/16/2021,2057802
12/8/2021,2113316
1/28/2023,2176712
6/21/2023,1923608
11/16/2023,1866042
3/5/2024,1674412
11/24/2018,2337020
8/15/2019,2511021
12/21/2020,2197242
8/12/2021,1995697
2/15/2024,1593625
11/5/2018,1984678
4/29/2019,2228567
9/1/2019,2571647
1/5/2021,1713848
5/31/2021,1887191
2/15/2022,1889289
3/11/2022,2072612
7/10/2022,2158127
7/16/2022,2247440
8/12/2022,2260333
4/1/2023,1872979
3/12/2019,2209351
5/22/2019,2502134
7/3/2020,2247236
8/26/2020,1538483
8/24/2021,1900740
1/16/2022,2015664
12/6/2022,2042591
1/11/2023,1915636
9/4/2019,2354867
12/14/2019,3232562
2/25/2020,2253493
3/29/2020,1393794
12/12/2020,2042151
4/23/2021,1963719
8/1/2018,2061694
4/10/2019,2229194
11/27/2019,3497548
2/9/2020,2437028
3/21/2020,1935426
4/14/2020,1446217
8/7/2020,1751879
10/13/2020,1482010
12/9/2020,1779429
2/21/2021,1773376
5/18/2021,1909730
6/13/2021,2039378
10/6/2022,2009311
11/23/2022,3075486
7/19/2023,1931018
9/17/2023,1868738
10/6/2023,2012421
12/31/2023,2010340
3/6/2024,1733176
12/1/2018,2408558
11/27/2020,1857063
7/3/2021,2346122
7/1/2022,2650205
11/10/2022,2050967
12/26/2022,2158895
9/12/2023,1764554
9/16/2018,2123348
12/9/2018,2177770
3/4/2019,2223841
